category,pearson,data1_ratio,data2_ratio,Data Count,category1,new category,Apearson,Adata1_ratio,Adata2_ratio
22:36D-15,0.784163232671635,0.000695338636395928,0.000686963745543948,79964,D-15,23:37D-15,0.794967357843726,0.0025545596146292,0.0025354854431442
23:37D-15,0.811985453180684,0.00152590320801719,0.00150830022225394,79964,D-15,23:37D-15,0.794967357843726,0.0025545596146292,0.0025354854431442
24:38D-15,0.839432851698212,0.000959737243340866,0.000910297574253866,79964,D-15,24:38D-15,0.796591897186246,0.00314334469559564,0.00298366460853537
25:39D-15,0.77991858553498,0.000631777921518609,0.000595251085706303,79964,D-15,24:38D-15,0.796591897186246,0.00314334469559564,0.00298366460853537
26:40D-15,0.804783728502102,0.00065923685103312,0.000622076108986626,79964,D-15,24:38D-15,0.796591897186246,0.00314334469559564,0.00298366460853537
27:41D-15,0.711894238754962,0.000892592679703073,0.000856039839588573,79964,D-15,24:38D-15,0.796591897186246,0.00314334469559564,0.00298366460853537
28:42D-15,0.664911025622216,0.000944516320839801,0.000938519880988454,79964,D-15,28:42D-15,0.681232722794172,0.0090785617106481,0.00891370255209662
29:43D-15,0.698893755758307,0.000956616049959587,0.000930487344696095,79964,D-15,28:42D-15,0.681232722794172,0.0090785617106481,0.00891370255209662
30:44D-15,0.734609210795337,0.000943872440737932,0.000926427482850592,79964,D-15,28:42D-15,0.681232722794172,0.0090785617106481,0.00891370255209662
31:45D-15,0.728588084911369,0.00078253743357196,0.000756194733372439,79964,D-15,28:42D-15,0.681232722794172,0.0090785617106481,0.00891370255209662
32:46D-15,0.74995033690047,0.00066919023588546,0.000651176073083039,79964,D-15,28:42D-15,0.681232722794172,0.0090785617106481,0.00891370255209662
33:47D-15,0.729736629155475,0.000647468289970336,0.000628937754132254,79964,D-15,28:42D-15,0.681232722794172,0.0090785617106481,0.00891370255209662
34:48D-15,0.72558594942516,0.000650881115435607,0.00061418566433701,79964,D-15,28:42D-15,0.681232722794172,0.0090785617106481,0.00891370255209662
35:49D-15,0.700959268690834,0.000766895078637362,0.000751801674547473,79964,D-15,28:42D-15,0.681232722794172,0.0090785617106481,0.00891370255209662
36:50D-15,0.611547097025741,0.000839683567731084,0.000821495004390687,79964,D-15,28:42D-15,0.681232722794172,0.0090785617106481,0.00891370255209662
37:51D-15,0.42865820671298,0.000786761094252805,0.000780482719620189,79964,D-15,28:42D-15,0.681232722794172,0.0090785617106481,0.00891370255209662
